Position,Track,Artist(s),Label,Sex,Age,Type,Race,Country,Genre
74,Bleeding Love,Leona Lewis,Syco music,Female,Under 25,Solo,Non white,UK,RnB
75,Up,Saturdays,Fascination,Female,Under 25,Group,White,UK,Pop
76,Singing In the Rain,Mint Royale,Syco music,Male,Over 25,Group,White,UK,Dance
77,Propane Nightmares,Pendulum,Warner Bros,Male,Over 25,Group,White,AUS,Dance
78,Use Somebody,Kings Of Leon,Hand me Down,Male,Over 25,Group,White,US,RnB
79,Right Now,Akon,Universal,Male,Over 25,Solo,Non white,SEN,Rock
80,Love is Noise,Verve,Parlophone,Male,Over 25,Group,White,UK,Rock
81,Another Way to Die,Alicia Keys and Jack White,Third Man,Mixed,Over 25,Group,Mixed,US,Rock
82,Just For Tonight,One Night Only,Vertigo,Male,Under 25,Group,White,UK,Pop
83,Call The Shots,Girls Aloud,Fascination,Female,Over 25,Group,White,UK,Rock
84,She's So Lovely,Scouting for Girls,Epic,Male,Under 25,Group,White,UK,Rock
85,In This City,Iglu and Hartley,Mercury,Male,Under 25,Group,White,US,RnB
86,We Made It,Busta Rhymes,Interscope,Male,Over 25,Solo,Non white,US,RnB
87,No one,Alicia Keys,J,Female,Under 25,Solo,Non white,US,RnB
88,Homecoming,Kanye West,Roc-a-fella,Male,Over 25,Solo,Non white,US,Rock
89,Touch My Body,Mariah Carey,Def Jam,Female,Over 25,Solo,Non white,US,RnB
90,Forgive Me,Leona Lewis,Syco music,Female,Under 25,Solo,Non white,UK,Pop
91,With Every Heartbeat,Robyn,Konichiwa,Female,Over 25,Solo,White,SWE,RnB
92,Scream,Timbaland,Interscope,Male,Over 25,Group,Non white,US,Rock
93,Mountains,Biffy Clyro,14th Floor,Male,Over 25,Group,White,UK,RnB
94,Umbrella ,Rihanna,Def Jam,Female,Under 25,Solo,Non white,Barbados,RnB
95,About You Know,Sugababes,Island,Female,Under 25,Group,Mixed,UK,Rock
96,Chasing Cars,Snow Patrol,Fiction,Male,Over 25,Group,White,UK,Pop
97,Beat It,Fall Out Boy,Mercury,Male,Over 25,Group,White,US,Rock
98,Always Where I Need to Be,Kooks,Virgin,Male,Under 25,Group,White,UK,Pop
99,Great DJ,The Ting Tings,Columbia,Mixed,Over 25,Group,White,UK,Rock
100,See You Again,Miley Cyrus,Hollywood,Female,Under 25,Solo,White,US,Pop
